production_id,time_id,site_id,material_id,employee_id,shift_id,produced_volume,unit_cost,date,day,month,year,day_name,site_name,region,latitude,longitude,material_name,material_type,unit_of_measure,quantity,employee_name,position,department,status,hire_date,shift_name,start_time,end_time
314,20240718,2,3,5,2,399,109,2024-07-18,18,7,2024,Thursday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Afternoon,14:00:00,22:00:00
315,20240718,4,3,6,3,439,146,2024-07-18,18,7,2024,Thursday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Gold,Metal,Ton,1769,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Night,22:00:00,06:00:00
316,20240719,1,3,3,1,130,478,2024-07-19,19,7,2024,Friday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,Karen Mack,Supervisor,Mining,Active,2023-01-20,Morning,06:00:00,14:00:00
317,20240720,2,3,5,3,374,414,2024-07-20,20,7,2024,Saturday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Night,22:00:00,06:00:00
318,20240720,1,2,8,1,118,195,2024-07-20,20,7,2024,Saturday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Iron,Metal,Ton,4380,David Jackson,Operator,Processing,Active,2023-01-17,Morning,06:00:00,14:00:00
319,20240721,1,4,6,1,197,202,2024-07-21,21,7,2024,Sunday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Morning,06:00:00,14:00:00
320,20240722,1,5,4,1,497,479,2024-07-22,22,7,2024,Monday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Nickel,Metal,Ton,2515,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Morning,06:00:00,14:00:00
321,20240722,5,3,2,1,65,441,2024-07-22,22,7,2024,Monday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Gold,Metal,Ton,1769,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Morning,06:00:00,14:00:00
322,20240723,1,3,9,2,356,245,2024-07-23,23,7,2024,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,James Johnson,Technician,Mining,Inactive,2023-01-12,Afternoon,14:00:00,22:00:00
323,20240724,5,3,1,2,154,467,2024-07-24,24,7,2024,Wednesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Gold,Metal,Ton,1769,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Afternoon,14:00:00,22:00:00
324,20240724,4,4,1,1,214,126,2024-07-24,24,7,2024,Wednesday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Morning,06:00:00,14:00:00
325,20240725,2,1,4,3,250,319,2024-07-25,25,7,2024,Thursday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Coal,Ore,Ton,2685,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Night,22:00:00,06:00:00
326,20240725,2,1,7,1,246,117,2024-07-25,25,7,2024,Thursday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Coal,Ore,Ton,2685,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Morning,06:00:00,14:00:00
327,20240726,2,2,1,2,475,266,2024-07-26,26,7,2024,Friday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Iron,Metal,Ton,4380,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Afternoon,14:00:00,22:00:00
328,20240727,2,1,9,3,234,181,2024-07-27,27,7,2024,Saturday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Coal,Ore,Ton,2685,James Johnson,Technician,Mining,Inactive,2023-01-12,Night,22:00:00,06:00:00
329,20240727,2,3,4,2,371,171,2024-07-27,27,7,2024,Saturday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Afternoon,14:00:00,22:00:00
330,20240728,2,3,3,2,314,409,2024-07-28,28,7,2024,Sunday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Karen Mack,Supervisor,Mining,Active,2023-01-20,Afternoon,14:00:00,22:00:00
331,20240729,2,3,1,3,412,353,2024-07-29,29,7,2024,Monday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Night,22:00:00,06:00:00
332,20240729,4,2,10,1,149,261,2024-07-29,29,7,2024,Monday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,Robert Blair,Technician,Processing,Active,2023-01-01,Morning,06:00:00,14:00:00
333,20240730,1,3,4,1,391,426,2024-07-30,30,7,2024,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Morning,06:00:00,14:00:00
334,20240731,3,1,9,1,369,137,2024-07-31,31,7,2024,Wednesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Coal,Ore,Ton,2685,James Johnson,Technician,Mining,Inactive,2023-01-12,Morning,06:00:00,14:00:00
335,20240731,5,4,10,1,263,492,2024-07-31,31,7,2024,Wednesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,Robert Blair,Technician,Processing,Active,2023-01-01,Morning,06:00:00,14:00:00
336,20240801,3,4,6,3,327,300,2024-08-01,1,8,2024,Thursday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Copper,Metal,Ton,3391,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Night,22:00:00,06:00:00
337,20240801,3,5,6,3,211,299,2024-08-01,1,8,2024,Thursday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Night,22:00:00,06:00:00
338,20240802,1,1,1,3,488,354,2024-08-02,2,8,2024,Friday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Night,22:00:00,06:00:00
339,20240803,1,3,10,2,206,278,2024-08-03,3,8,2024,Saturday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,Robert Blair,Technician,Processing,Active,2023-01-01,Afternoon,14:00:00,22:00:00
340,20240803,1,4,2,3,471,134,2024-08-03,3,8,2024,Saturday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Night,22:00:00,06:00:00
341,20240804,2,1,6,1,300,181,2024-08-04,4,8,2024,Sunday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Coal,Ore,Ton,2685,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Morning,06:00:00,14:00:00
342,20240805,4,4,2,2,415,488,2024-08-05,5,8,2024,Monday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Afternoon,14:00:00,22:00:00
343,20240805,2,3,3,1,146,497,2024-08-05,5,8,2024,Monday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Karen Mack,Supervisor,Mining,Active,2023-01-20,Morning,06:00:00,14:00:00
344,20240806,4,4,4,1,67,319,2024-08-06,6,8,2024,Tuesday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Morning,06:00:00,14:00:00
345,20240807,4,5,5,3,376,257,2024-08-07,7,8,2024,Wednesday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Nickel,Metal,Ton,2515,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Night,22:00:00,06:00:00
346,20240807,3,5,9,3,498,103,2024-08-07,7,8,2024,Wednesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,James Johnson,Technician,Mining,Inactive,2023-01-12,Night,22:00:00,06:00:00
347,20240808,3,4,4,1,432,266,2024-08-08,8,8,2024,Thursday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Copper,Metal,Ton,3391,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Morning,06:00:00,14:00:00
348,20240808,4,1,9,1,146,303,2024-08-08,8,8,2024,Thursday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Coal,Ore,Ton,2685,James Johnson,Technician,Mining,Inactive,2023-01-12,Morning,06:00:00,14:00:00
349,20240809,4,1,10,2,50,293,2024-08-09,9,8,2024,Friday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Coal,Ore,Ton,2685,Robert Blair,Technician,Processing,Active,2023-01-01,Afternoon,14:00:00,22:00:00
350,20240810,2,1,3,3,265,334,2024-08-10,10,8,2024,Saturday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Coal,Ore,Ton,2685,Karen Mack,Supervisor,Mining,Active,2023-01-20,Night,22:00:00,06:00:00
351,20240810,2,4,8,2,181,305,2024-08-10,10,8,2024,Saturday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Copper,Metal,Ton,3391,David Jackson,Operator,Processing,Active,2023-01-17,Afternoon,14:00:00,22:00:00
352,20240811,3,1,1,2,309,249,2024-08-11,11,8,2024,Sunday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Coal,Ore,Ton,2685,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Afternoon,14:00:00,22:00:00
353,20240812,1,3,9,2,174,258,2024-08-12,12,8,2024,Monday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,James Johnson,Technician,Mining,Inactive,2023-01-12,Afternoon,14:00:00,22:00:00
354,20240812,4,5,9,1,131,378,2024-08-12,12,8,2024,Monday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Nickel,Metal,Ton,2515,James Johnson,Technician,Mining,Inactive,2023-01-12,Morning,06:00:00,14:00:00
355,20240813,2,3,10,2,332,403,2024-08-13,13,8,2024,Tuesday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Robert Blair,Technician,Processing,Active,2023-01-01,Afternoon,14:00:00,22:00:00
356,20240814,3,1,2,2,220,480,2024-08-14,14,8,2024,Wednesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Coal,Ore,Ton,2685,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Afternoon,14:00:00,22:00:00
357,20240814,2,3,4,1,108,265,2024-08-14,14,8,2024,Wednesday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Morning,06:00:00,14:00:00
358,20240815,4,1,8,3,81,410,2024-08-15,15,8,2024,Thursday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Coal,Ore,Ton,2685,David Jackson,Operator,Processing,Active,2023-01-17,Night,22:00:00,06:00:00
359,20240815,4,4,7,3,210,167,2024-08-15,15,8,2024,Thursday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Night,22:00:00,06:00:00
360,20240816,5,3,1,2,333,187,2024-08-16,16,8,2024,Friday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Gold,Metal,Ton,1769,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Afternoon,14:00:00,22:00:00
361,20240817,1,4,5,1,155,316,2024-08-17,17,8,2024,Saturday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Morning,06:00:00,14:00:00
362,20240817,5,4,7,3,154,100,2024-08-17,17,8,2024,Saturday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Night,22:00:00,06:00:00
363,20240818,3,2,4,2,488,234,2024-08-18,18,8,2024,Sunday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Iron,Metal,Ton,4380,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Afternoon,14:00:00,22:00:00
364,20240819,2,1,1,2,277,284,2024-08-19,19,8,2024,Monday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Coal,Ore,Ton,2685,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Afternoon,14:00:00,22:00:00
365,20240819,3,5,9,1,237,450,2024-08-19,19,8,2024,Monday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,James Johnson,Technician,Mining,Inactive,2023-01-12,Morning,06:00:00,14:00:00
366,20240820,4,1,5,2,119,239,2024-08-20,20,8,2024,Tuesday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Coal,Ore,Ton,2685,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Afternoon,14:00:00,22:00:00
367,20240821,5,5,2,3,367,205,2024-08-21,21,8,2024,Wednesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Night,22:00:00,06:00:00
368,20240821,5,1,8,1,339,232,2024-08-21,21,8,2024,Wednesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,David Jackson,Operator,Processing,Active,2023-01-17,Morning,06:00:00,14:00:00
369,20240822,5,4,2,3,136,207,2024-08-22,22,8,2024,Thursday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Night,22:00:00,06:00:00
370,20240822,3,3,3,3,419,277,2024-08-22,22,8,2024,Thursday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Karen Mack,Supervisor,Mining,Active,2023-01-20,Night,22:00:00,06:00:00
371,20240823,4,3,10,3,411,397,2024-08-23,23,8,2024,Friday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Gold,Metal,Ton,1769,Robert Blair,Technician,Processing,Active,2023-01-01,Night,22:00:00,06:00:00
372,20240824,2,2,1,2,105,457,2024-08-24,24,8,2024,Saturday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Iron,Metal,Ton,4380,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Afternoon,14:00:00,22:00:00
373,20240824,2,5,2,2,162,479,2024-08-24,24,8,2024,Saturday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Nickel,Metal,Ton,2515,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Afternoon,14:00:00,22:00:00
374,20240825,3,5,7,3,62,495,2024-08-25,25,8,2024,Sunday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Night,22:00:00,06:00:00
375,20240826,5,5,10,3,489,458,2024-08-26,26,8,2024,Monday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,Robert Blair,Technician,Processing,Active,2023-01-01,Night,22:00:00,06:00:00
376,20240826,1,4,2,1,67,245,2024-08-26,26,8,2024,Monday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Morning,06:00:00,14:00:00
377,20240827,3,5,6,1,231,173,2024-08-27,27,8,2024,Tuesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Morning,06:00:00,14:00:00
378,20240828,3,3,3,2,162,207,2024-08-28,28,8,2024,Wednesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Karen Mack,Supervisor,Mining,Active,2023-01-20,Afternoon,14:00:00,22:00:00
379,20240828,4,4,4,2,278,221,2024-08-28,28,8,2024,Wednesday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Afternoon,14:00:00,22:00:00
380,20240829,2,1,8,1,220,116,2024-08-29,29,8,2024,Thursday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Coal,Ore,Ton,2685,David Jackson,Operator,Processing,Active,2023-01-17,Morning,06:00:00,14:00:00
381,20240829,3,5,3,3,344,295,2024-08-29,29,8,2024,Thursday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,Karen Mack,Supervisor,Mining,Active,2023-01-20,Night,22:00:00,06:00:00
382,20240830,3,5,10,2,238,426,2024-08-30,30,8,2024,Friday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,Robert Blair,Technician,Processing,Active,2023-01-01,Afternoon,14:00:00,22:00:00
383,20240831,5,1,6,3,475,417,2024-08-31,31,8,2024,Saturday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Night,22:00:00,06:00:00
384,20240831,5,5,1,1,128,396,2024-08-31,31,8,2024,Saturday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Morning,06:00:00,14:00:00
385,20240901,1,1,7,2,195,351,2024-09-01,1,9,2024,Sunday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Afternoon,14:00:00,22:00:00
386,20240902,4,4,8,2,456,218,2024-09-02,2,9,2024,Monday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,David Jackson,Operator,Processing,Active,2023-01-17,Afternoon,14:00:00,22:00:00
387,20240902,1,3,8,1,231,261,2024-09-02,2,9,2024,Monday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,David Jackson,Operator,Processing,Active,2023-01-17,Morning,06:00:00,14:00:00
388,20240903,5,1,3,2,335,297,2024-09-03,3,9,2024,Tuesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,Karen Mack,Supervisor,Mining,Active,2023-01-20,Afternoon,14:00:00,22:00:00
389,20240904,2,2,10,1,299,144,2024-09-04,4,9,2024,Wednesday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Iron,Metal,Ton,4380,Robert Blair,Technician,Processing,Active,2023-01-01,Morning,06:00:00,14:00:00
390,20240904,5,1,1,2,403,413,2024-09-04,4,9,2024,Wednesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Afternoon,14:00:00,22:00:00
391,20240905,4,5,9,1,363,278,2024-09-05,5,9,2024,Thursday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Nickel,Metal,Ton,2515,James Johnson,Technician,Mining,Inactive,2023-01-12,Morning,06:00:00,14:00:00
392,20240905,5,4,6,2,245,481,2024-09-05,5,9,2024,Thursday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Afternoon,14:00:00,22:00:00
393,20240906,4,4,9,3,372,143,2024-09-06,6,9,2024,Friday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,James Johnson,Technician,Mining,Inactive,2023-01-12,Night,22:00:00,06:00:00
394,20240907,4,1,7,3,120,370,2024-09-07,7,9,2024,Saturday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Coal,Ore,Ton,2685,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Night,22:00:00,06:00:00
395,20240907,4,3,1,3,297,177,2024-09-07,7,9,2024,Saturday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Gold,Metal,Ton,1769,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Night,22:00:00,06:00:00
396,20240908,4,2,1,2,195,425,2024-09-08,8,9,2024,Sunday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Afternoon,14:00:00,22:00:00
397,20240909,4,4,6,2,155,277,2024-09-09,9,9,2024,Monday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Afternoon,14:00:00,22:00:00
398,20240909,2,5,5,3,312,456,2024-09-09,9,9,2024,Monday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Nickel,Metal,Ton,2515,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Night,22:00:00,06:00:00
399,20240910,1,5,9,3,345,102,2024-09-10,10,9,2024,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Nickel,Metal,Ton,2515,James Johnson,Technician,Mining,Inactive,2023-01-12,Night,22:00:00,06:00:00
400,20240910,3,3,2,1,119,313,2024-09-10,10,9,2024,Tuesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Morning,06:00:00,14:00:00
401,20240911,1,4,8,1,242,441,2024-09-11,11,9,2024,Wednesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,David Jackson,Operator,Processing,Active,2023-01-17,Morning,06:00:00,14:00:00
402,20240912,4,1,5,1,117,173,2024-09-12,12,9,2024,Thursday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Coal,Ore,Ton,2685,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Morning,06:00:00,14:00:00
403,20240912,2,5,2,3,354,150,2024-09-12,12,9,2024,Thursday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Nickel,Metal,Ton,2515,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Night,22:00:00,06:00:00
404,20240913,5,3,10,3,101,166,2024-09-13,13,9,2024,Friday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Gold,Metal,Ton,1769,Robert Blair,Technician,Processing,Active,2023-01-01,Night,22:00:00,06:00:00
405,20240914,2,4,6,3,419,431,2024-09-14,14,9,2024,Saturday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Copper,Metal,Ton,3391,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Night,22:00:00,06:00:00
406,20240914,4,4,10,1,412,192,2024-09-14,14,9,2024,Saturday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,Robert Blair,Technician,Processing,Active,2023-01-01,Morning,06:00:00,14:00:00
407,20240915,2,4,8,2,334,275,2024-09-15,15,9,2024,Sunday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Copper,Metal,Ton,3391,David Jackson,Operator,Processing,Active,2023-01-17,Afternoon,14:00:00,22:00:00
408,20240916,2,4,4,3,454,244,2024-09-16,16,9,2024,Monday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Copper,Metal,Ton,3391,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Night,22:00:00,06:00:00
409,20240916,4,4,2,2,383,106,2024-09-16,16,9,2024,Monday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Afternoon,14:00:00,22:00:00
410,20240917,2,5,5,2,58,368,2024-09-17,17,9,2024,Tuesday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Nickel,Metal,Ton,2515,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Afternoon,14:00:00,22:00:00
411,20240917,3,3,2,2,300,475,2024-09-17,17,9,2024,Tuesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Afternoon,14:00:00,22:00:00
412,20240918,3,4,2,1,480,421,2024-09-18,18,9,2024,Wednesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Copper,Metal,Ton,3391,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Morning,06:00:00,14:00:00
413,20240919,2,2,6,2,381,103,2024-09-19,19,9,2024,Thursday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Iron,Metal,Ton,4380,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Afternoon,14:00:00,22:00:00
414,20240919,5,2,10,3,347,237,2024-09-19,19,9,2024,Thursday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Iron,Metal,Ton,4380,Robert Blair,Technician,Processing,Active,2023-01-01,Night,22:00:00,06:00:00
415,20240920,4,3,9,1,484,330,2024-09-20,20,9,2024,Friday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Gold,Metal,Ton,1769,James Johnson,Technician,Mining,Inactive,2023-01-12,Morning,06:00:00,14:00:00
416,20240921,3,1,4,3,233,187,2024-09-21,21,9,2024,Saturday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Coal,Ore,Ton,2685,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Night,22:00:00,06:00:00
417,20240921,5,1,6,3,228,116,2024-09-21,21,9,2024,Saturday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Night,22:00:00,06:00:00
418,20240922,2,1,7,1,247,151,2024-09-22,22,9,2024,Sunday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Coal,Ore,Ton,2685,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Morning,06:00:00,14:00:00
419,20240923,5,2,6,3,177,233,2024-09-23,23,9,2024,Monday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Iron,Metal,Ton,4380,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Night,22:00:00,06:00:00
420,20240923,1,1,8,3,69,310,2024-09-23,23,9,2024,Monday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,David Jackson,Operator,Processing,Active,2023-01-17,Night,22:00:00,06:00:00
421,20240924,3,5,4,1,460,424,2024-09-24,24,9,2024,Tuesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Morning,06:00:00,14:00:00
422,20240924,2,4,1,3,471,492,2024-09-24,24,9,2024,Tuesday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Copper,Metal,Ton,3391,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Night,22:00:00,06:00:00
423,20240925,4,2,7,2,377,318,2024-09-25,25,9,2024,Wednesday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Afternoon,14:00:00,22:00:00
424,20240926,2,3,3,3,114,304,2024-09-26,26,9,2024,Thursday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Karen Mack,Supervisor,Mining,Active,2023-01-20,Night,22:00:00,06:00:00
